Date,Probe,walen1,walen2,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,r_W,theta_w,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
2015-09-02 16:48:44.145000+00:00,3,True,True,True,1.618,10.863,-4.757,11.859,3.897,37.444,2015-09-02 16:45:20.508386432+00:00,2790,2823,3385,3451,89.789,-2.95,17.08,40.35,-3.342,19.384,40.083,0.003,-18.99,9.27,0.003,-18.99,9.27,2.022,2.022,53.08,53.061,-16.152,-1.223,-95.367,-19.952,4.864,-96.227,11.09,-245.626,-104.754,12.482,-244.168,-103.411,3020990.25,165857.9375,3007057.25,171629.84375,3758442.5,193789.375,3760392.75,194011.4375,0.93,0.119,
2015-09-02 17:50:04.143000+00:00,3,False,False,True,1.056,11.049,-4.319,11.863,2.004,117.53,2015-09-02 17:53:27.361802880+00:00,244,277,862,928,155.666,8.365,-2.942,18.02,8.371,-2.91,18.075,-0.527,-0.123,-14.462,-0.527,-0.123,-14.462,1.649,1.655,58.484,58.365,43.593,-88.611,34.056,43.416,-89.891,33.552,9.028,-234.812,-59.435,9.427,-234.915,-59.541,5963402.0,144944.984375,5964223.0,144720.046875,7144259.0,163558.53125,7166660.0,163021.375,1.214,0.906,
2015-09-02 17:50:44.194000+00:00,3,False,False,True,1.051,11.05,-4.315,11.863,2.004,117.53,2015-09-02 17:53:27.361802880+00:00,244,277,862,928,155.666,8.365,-2.942,18.02,8.371,-2.91,18.075,-0.527,-0.123,-14.462,-0.527,-0.123,-14.462,1.649,1.655,58.484,58.365,43.593,-88.611,34.056,43.416,-89.891,33.552,9.028,-234.812,-59.435,9.427,-234.915,-59.541,5963402.0,144944.984375,5964223.0,144720.046875,7144259.0,163558.53125,7166660.0,163021.375,1.214,0.906,
2015-09-02 17:57:54.099000+00:00,3,False,False,True,0.982,11.062,-4.26,11.853,1.13,112.955,2015-09-02 17:53:27.286802944+00:00,1791,1824,993,1059,64.615,5.139,1.697,11.237,5.116,1.611,11.246,-9.224,23.64,14.749,-9.224,23.64,14.749,1.237,1.239,17.032,16.901,142.031,280.062,-198.593,140.247,283.725,-197.385,39.323,-105.958,-27.214,41.132,-105.907,-34.674,5411796.0,345777.875,5449339.0,347069.4375,6697440.5,379084.34375,6667538.0,380594.65625,0.246,1.618,
2015-09-03 14:13:54.196000+00:00,3,True,True,True,3.047,9.8,-5.451,11.214,2.294,27.221,2015-09-03 14:12:42.345855616+00:00,924,957,3323,3389,19.34,5.926,-1.613,41.49,5.851,-1.611,41.475,2.609,-11.982,30.628,2.609,-11.982,30.628,0.733,0.731,21.914,20.918,41.245,-16.374,-13.188,44.049,-14.897,-16.297,-14.612,-290.251,-274.078,-15.182,-296.595,-280.579,4257739.0,330304.9375,4270594.5,348806.21875,6235796.5,317445.0,6251319.0,323502.4375,0.219,0.071,
2015-09-03 14:08:34.092000+00:00,3,True,True,True,3.09,9.752,-5.456,11.174,4.366,28.014,2015-09-03 14:12:42.645855616+00:00,3059,3092,2484,2550,30.166,5.926,-1.613,41.49,5.851,-1.611,41.475,1.416,-24.412,39.286,1.416,-24.412,39.286,0.733,0.731,11.721,12.04,41.245,-16.374,-13.188,44.049,-14.897,-16.297,-6.345,-234.684,-180.299,-5.108,-233.635,-182.462,4257739.0,474027.15625,4270594.5,479260.40625,6235796.5,470574.9375,6251319.0,469575.125,0.093,0.071,
2015-09-03 14:37:14.165000+00:00,3,True,True,True,2.866,9.994,-5.412,11.365,2.173,41.471,2015-09-03 14:39:32.081631616+00:00,1316,1349,2526,2592,17.89,4.283,-8.513,37.478,4.347,-9.26,37.394,4.665,-26.786,43.11,4.665,-26.786,43.11,1.153,1.147,13.92,14.015,-45.392,-77.199,-22.628,-42.392,-78.725,-26.438,2.576,-225.979,-103.203,-2.29,-226.032,-102.886,3673307.75,304516.1875,3676852.25,325621.5,5194869.0,359778.375,5169478.0,364238.40625,0.064,0.111,
2015-09-03 14:50:44.176000+00:00,3,False,True,True,2.757,10.102,-5.378,11.444,0.739,75.792,2015-09-03 14:53:16.862188032+00:00,1250,1283,335,401,21.317,3.218,-3.067,42.894,3.044,-3.037,42.938,11.297,-15.271,37.352,11.297,-15.271,37.352,2.619,2.619,25.017,24.901,-3.462,-56.496,-58.737,-2.514,-56.119,-55.222,8.998,-242.844,-175.381,10.468,-240.948,-175.053,1743118.5,229026.59375,1754270.5,236300.609375,2175532.75,282417.90625,2194855.75,287782.5,0.119,0.093,
2015-09-03 14:56:24.080000+00:00,3,False,False,True,2.708,10.149,-5.36,11.477,0.548,79.236,2015-09-03 15:01:09.740384384+00:00,2358,2391,201,267,27.748,2.665,-1.951,36.958,2.261,-2.096,37.136,-0.443,-20.0,33.704,-0.443,-20.0,33.704,1.62,1.653,11.868,14.586,18.424,-20.36,-76.522,15.214,-27.138,-76.522,19.223,-287.902,-148.469,18.838,-288.441,-140.897,3525320.75,529785.4375,3599551.25,504115.25,4379310.5,527202.5,4499379.0,502388.6875,0.168,0.162,
2015-09-03 15:27:44.206000+00:00,3,False,False,True,2.449,10.376,-5.244,11.626,8.189,96.138,2015-09-03 15:29:33.677007360+00:00,1823,1856,3309,3375,93.45,2.095,1.875,27.057,2.149,1.882,27.008,11.184,-37.444,-0.646,11.184,-37.444,-0.646,1.106,1.102,23.026,22.806,-34.992,90.677,36.359,-37.366,88.071,36.156,-19.895,-224.705,-121.857,-20.103,-225.921,-121.257,6319602.0,268313.3125,6354312.0,267486.59375,8061027.0,265653.6875,8200270.5,269460.40625,0.142,0.36,
2015-09-03 15:32:14.209000+00:00,3,False,False,True,2.411,10.406,-5.224,11.644,9.13,118.483,2015-09-03 15:29:33.677007360+00:00,263,296,2409,2475,88.254,8.819,-4.693,23.922,8.566,-4.69,23.92,3.89,-37.149,-7.423,3.89,-37.149,-7.423,1.157,1.168,27.609,27.627,63.98,105.798,-11.841,68.723,105.955,-10.657,-10.567,-207.601,-85.961,-9.041,-207.08,-86.331,5545896.0,151439.75,5457247.5,151001.765625,8458619.0,222605.359375,8440979.0,223845.3125,0.116,0.389,
2015-09-03 16:09:34.189000+00:00,3,True,True,True,2.087,10.639,-5.031,11.769,0.353,19.059,2015-09-03 16:12:42.545009024+00:00,921,954,370,436,68.638,4.864,2.988,34.229,4.909,2.977,34.133,2.383,-30.35,14.81,2.383,-30.35,14.81,2.084,2.06,35.569,34.718,32.365,52.729,0.996,33.234,51.905,0.125,-6.128,-230.669,-137.574,-2.648,-224.331,-137.778,3489697.5,196703.828125,3517974.75,196301.390625,4619712.5,238311.5625,4627408.5,240732.203125,0.226,0.231,
2015-09-04 11:42:54.163000+00:00,3,False,False,True,4.187,8.289,-5.061,9.712,0.896,129.311,2015-09-04 11:47:07.129763968+00:00,2760,2793,100,166,30.077,10.354,-13.058,18.605,10.116,-13.081,18.47,7.314,-1.792,24.541,7.314,-1.792,24.541,1.164,1.164,8.465,8.181,46.758,-2.523,7.305,48.415,-0.32,8.075,3.93,-99.9,106.119,4.059,-104.713,103.999,8841600.0,1185072.75,9008174.0,1193138.75,10886475.0,1369765.25,10959989.0,1375955.25,0.521,0.625,
2015-09-06 12:30:34.137000+00:00,3,False,False,True,4.139,8.781,-5.396,10.306,2.157,95.636,2015-09-06 12:35:26.382174976+00:00,685,718,1546,1612,5.014,9.44,-4.202,20.855,9.576,-4.193,20.845,15.4,-5.103,39.913,15.4,-5.103,39.913,0.576,0.572,8.635,8.914,64.578,-76.937,-62.654,64.512,-75.303,-64.578,-20.992,-207.338,-148.295,-16.626,-211.858,-153.31,9183722.0,722923.5,9045360.0,721335.4375,11441286.0,712803.5,10966385.0,711880.5625,0.118,0.355,
2015-09-06 12:37:14.193000+00:00,3,True,True,True,4.098,8.846,-5.421,10.375,2.831,138.566,2015-09-06 12:36:33.582657920+00:00,3248,3281,878,944,13.147,5.257,-7.91,19.361,5.314,-6.93,20.101,15.4,-5.103,39.913,15.4,-5.103,39.913,0.674,0.679,8.635,8.914,-4.993,-26.516,-79.66,-9.019,-24.646,-80.293,-20.992,-207.338,-148.295,-16.626,-211.858,-153.31,6904050.5,722923.5,6919744.5,721335.4375,9414622.0,712803.5,9487702.0,711880.5625,0.118,0.394,
2015-09-06 13:18:54.125000+00:00,3,True,True,True,3.817,9.25,-5.532,10.778,1.347,108.466,2015-09-06 13:18:31.425578496+00:00,2459,2492,474,540,23.996,14.039,-14.722,7.203,14.012,-14.388,7.262,9.995,-22.039,17.869,9.995,-22.039,17.869,1.366,1.379,6.776,6.812,76.132,-2.358,-52.41,76.5,-6.349,-53.911,6.424,-144.727,-33.818,10.942,-146.209,-32.673,3816647.75,1253066.5,3811362.75,1252450.75,4370229.0,906891.0,4438641.5,910417.625,0.301,0.413,
2015-09-07 13:26:34.114000+00:00,3,False,True,True,3.886,9.299,-5.568,10.838,1.182,90.401,2015-09-07 13:28:29.000150528+00:00,1131,1164,242,308,157.212,10.214,-5.782,28.313,10.212,-5.821,28.498,-1.351,-2.384,-37.76,-1.351,-2.384,-37.76,0.685,0.679,14.605,14.804,37.769,-42.765,33.88,36.751,-39.149,30.516,-69.668,-319.949,-74.01,-73.548,-299.519,-75.022,6937274.0,310069.15625,6923272.0,317804.9375,9592178.0,390433.5625,9564182.0,391967.3125,0.125,0.196,
